amount,ip_distance,device_type_id,time_of_day,tx_frequency,merchant_risk,account_age,location_deviation
51.87,10.74,2,14.56,3,0.07,510.74,0.19
51.55,0.28,1,11.21,0,0.17,2271.57,0.65
29.53,12.32,1,15.51,0,0.19,165.71,17.28
30.41,12.13,1,14.34,0,0.02,480.66,2.47
17.46,0.08,2,12.27,0,0.15,368.56,2.38
185.71,1.42,1,16.12,2,0.23,889.63,3.81
19.67,0.33,3,13.37,0,0.16,1177.96,2.4
29.74,3.42,2,14.67,4,0.45,728.55,1.87
29.17,6.83,1,14.29,2,0.07,3650.0,5.94
97.83,8.86,1,13.4,1,0.22,293.31,1.18
40.08,122.56,1,12.38,1,0.06,18.69,7.47
127.46,5.05,1,15.12,1,0.34,1285.44,9.31
30.17,8.9,1,11.56,1,0.12,280.77,10.4
61.64,13.01,2,15.86,3,0.27,3528.48,9.47
26.72,6.42,2,12.29,0,0.24,1627.67,9.06
249.86,3.25,1,11.67,2,0.1,983.8,3.05
20.52,16.09,1,16.8,4,0.11,1218.62,8.14
63.08,8.89,1,14.19,1,0.07,1607.87,4.75
80.43,8.47,1,10.19,1,0.06,1153.33,5.02
68.2,3.64,2,13.97,2,0.18,377.0,6.12
43.51,375.44,1,15.22,1,0.21,705.9,17.72
45.36,2.44,2,15.28,0,0.12,377.21,0.13
51.67,2.38,3,12.45,1,0.2,1213.03,1.7
44.78,0.12,2,12.74,0,0.12,10.0,1.63
103.02,8.95,1,14.33,0,0.24,487.11,7.47
262.41,7.42,1,16.08,1,0.16,172.64,2.2
32.91,6.31,1,11.37,0,0.04,2983.53,8.8
17.9,387.94,2,11.48,1,0.3,1270.32,7.16
46.8,8.62,2,16.74,2,0.19,700.06,2.19
346.13,21.44,2,16.44,1,0.29,277.27,1.54
27.37,2.17,2,12.12,0,0.17,19.42,3.63
170.95,3.04,2,13.23,2,0.2,1409.45,1.6
175.97,0.22,2,18.22,1,0.3,685.8,1.06
33.01,23.97,1,15.76,3,0.19,93.79,0.7
76.61,4.94,2,13.9,2,0.1,855.8,23.71
169.58,174.45,2,16.29,0,0.49,40.84,5.16
37.63,356.16,1,13.04,0,0.22,567.74,17.58
42.92,426.73,3,14.32,1,0.41,579.47,6.97
32.32,5.29,3,13.38,1,0.22,1992.57,6.0
23.36,5.58,1,15.42,2,0.07,3650.0,2.84
30.72,46.53,2,15.4,1,0.14,155.5,2.08
19.97,9.34,1,14.45,0,0.2,1210.89,2.11
51.29,8.98,1,15.01,2,0.18,2053.28,3.41
28.07,12.11,1,16.27,1,0.38,562.28,13.26
59.58,6.81,1,14.93,1,0.11,395.41,3.54
15.57,10.56,1,14.45,1,0.29,20.21,5.56
64.08,9.99,1,14.85,2,0.21,828.87,5.52
93.43,8.35,2,16.42,0,0.28,199.01,4.94
11.21,26.2,1,12.15,0,0.2,77.22,5.54
66.19,2.96,1,14.83,2,0.43,10.0,0.81
125.56,3.97,1,10.23,3,0.2,3243.63,1.75
20.18,29.52,1,13.43,2,0.24,1952.11,10.43
175.29,488.75,1,17.77,1,0.06,3277.23,2.26
68.46,1.79,1,12.42,1,0.16,2842.76,1.25
29.47,2.98,1,10.74,1,0.19,981.58,0.22
47.95,0.99,1,12.11,1,0.31,931.8,4.25
76.0,55.06,1,15.43,1,0.02,1878.04,0.44
52.93,28.0,3,13.74,2,0.25,2929.25,8.3
74.9,12.97,1,11.99,2,0.12,890.07,0.59
25.07,41.83,2,16.42,3,0.28,127.72,5.88
56.77,116.66,1,14.85,0,0.13,141.11,7.61
17.32,18.89,1,11.69,4,0.47,1078.58,4.03
46.0,0.99,1,13.56,2,0.32,84.22,0.56
25.38,185.52,3,18.27,1,0.27,945.94,6.1
28.8,0.03,1,13.38,1,0.05,3321.31,0.56
126.35,8.94,2,10.61,1,0.24,10.0,92.22
113.35,0.32,2,14.94,0,0.12,205.48,13.07
78.95,1.51,1,14.77,2,0.33,2892.22,1.4
22.04,1.61,3,16.67,3,0.18,671.1,4.48
39.44,11.7,1,13.22,3,0.16,338.04,20.15
124.19,4.5,1,14.88,4,0.13,286.11,5.86
55.61,149.72,1,14.49,0,0.22,1994.46,3.78
284.72,5.13,1,13.99,1,0.08,561.36,20.11
67.16,0.72,1,14.65,3,0.28,1009.7,5.41
57.75,5.3,2,15.2,1,0.4,370.97,3.46
39.65,0.55,1,15.1,0,0.24,787.48,0.96
55.27,5.71,2,15.84,0,0.38,1589.74,2.07
44.6,6.38,1,9.44,0,0.37,413.34,12.1
85.04,4.46,3,11.01,1,0.42,507.23,0.9
102.47,12.83,1,14.43,0,0.11,585.73,1.24
27.73,2.2,2,14.23,0,0.02,913.61,3.96
18.42,2.64,2,11.97,3,0.15,362.76,8.99
12.61,6.61,1,13.33,2,0.21,590.08,3.94
73.19,5.66,1,12.35,1,0.23,793.77,4.2
21.86,15.67,1,15.18,2,0.04,437.9,0.29
9.95,7.39,1,12.22,1,0.45,10.0,6.6
66.92,0.64,1,14.43,2,0.18,314.56,4.0
324.33,2.47,2,16.05,0,0.04,1692.5,1.04
49.77,282.04,1,12.26,0,0.31,333.32,75.23
93.77,4.78,1,11.32,3,0.27,1727.9,3.34
53.16,3.05,1,12.48,2,0.04,525.94,0.55
46.43,0.89,2,12.26,1,0.08,2011.95,2.53
99.62,376.34,1,14.08,2,0.42,470.67,1.32
40.22,6.65,1,10.6,3,0.25,345.86,11.61
61.1,8.25,1,17.21,2,0.22,271.29,2.75
63.64,13.05,1,11.49,1,0.37,360.51,4.14
30.29,10.72,2,11.3,0,0.19,221.05,3.23
105.22,12.61,2,14.12,0,0.27,1388.47,1.05
43.85,37.86,2,13.75,1,0.11,3650.0,9.27
28.37,1.55,1,16.74,3,0.06,506.21,7.56
74.77,12.06,3,13.45,3,0.05,405.31,2.03
25.49,14.65,1,13.43,0,0.04,1014.94,0.95
51.07,14.44,1,15.3,4,0.13,562.92,4.59
49.66,1.17,1,15.89,4,0.19,49.27,3.15
112.89,7.78,1,10.11,3,0.13,422.14,0.54
71.38,5.57,1,14.13,1,0.15,1610.24,1.13
49.07,4.23,1,18.31,2,0.19,71.14,0.29
92.33,6.13,1,12.75,2,0.15,299.32,8.96
141.84,4.23,1,14.3,2,0.1,3650.0,2.15
75.97,1.93,2,16.04,3,0.04,332.82,5.76
50.39,1.46,3,14.97,0,0.04,1907.28,0.97
18.69,479.41,1,11.9,3,0.04,2294.03,3.39
22.49,1.29,2,13.87,3,0.12,1145.16,0.59
39.77,22.96,2,11.52,3,0.2,643.19,2.41
31.65,11.68,3,11.86,2,0.15,3112.83,7.37
43.46,6.96,1,16.22,4,0.32,3310.52,6.61
52.17,3.98,2,15.71,2,0.12,1011.17,64.65
74.39,0.94,1,17.57,1,0.11,1368.52,1.96
47.42,11.9,2,15.85,3,0.05,2125.83,8.18
72.02,235.25,2,13.72,1,0.21,113.35,10.25
52.48,0.26,2,11.97,3,0.24,832.84,9.12
11.36,26.27,1,16.79,1,0.21,1991.85,6.45
24.72,188.46,2,15.25,3,0.16,2443.46,9.71
44.88,9.71,1,15.6,1,0.29,3650.0,10.07
20.18,1.73,1,15.15,2,0.34,1320.07,1.96
78.41,3.91,1,16.37,0,0.22,234.66,3.59
157.6,11.35,2,10.95,2,0.17,1006.0,2.07
124.72,5.54,3,11.57,0,0.01,3650.0,3.17
42.6,1.38,2,12.26,0,0.25,885.74,1.29
152.94,17.95,1,14.73,0,0.27,487.19,4.42
55.9,22.67,1,13.09,2,0.01,316.55,5.19
38.83,9.58,1,16.26,4,0.03,429.34,10.03
31.56,1.69,1,13.97,0,0.15,1331.91,3.07
39.85,6.57,1,18.64,2,0.09,236.26,6.76
37.37,3.25,1,17.43,3,0.2,1024.06,2.41
56.82,315.04,1,14.28,0,0.34,985.94,2.66
56.4,25.83,2,11.28,2,0.26,306.63,0.18
50.11,9.86,2,15.38,0,0.04,701.73,4.16
69.39,23.25,2,11.77,2,0.27,2013.27,2.76
122.12,10.02,1,12.05,1,0.09,1586.17,0.4
101.92,3.72,1,13.21,0,0.24,882.25,4.9
16.42,1.83,1,13.17,0,0.1,1100.33,37.09
7.36,110.86,1,15.11,3,0.05,35.67,2.98
100.76,11.2,2,14.65,2,0.37,93.5,1.54
17.94,9.8,1,11.98,0,0.3,469.66,1.11
42.24,1.26,2,13.41,3,0.06,483.98,5.42
20.79,0.67,3,11.28,2,0.15,353.64,12.58
12.94,4.35,1,14.8,1,0.08,1051.52,0.22
75.05,9.4,1,10.28,3,0.24,933.9,7.98
88.36,1.18,3,13.53,2,0.11,1153.74,2.51
32.45,12.65,2,12.71,2,0.19,262.68,10.01
7.16,7.99,2,15.09,0,0.51,10.0,8.42
33.19,1.88,2,12.38,1,0.04,3417.96,5.54
67.08,3.45,1,12.3,3,0.27,1480.94,92.74
16.49,28.5,1,14.79,2,0.13,610.64,16.75
57.37,22.51,1,14.9,0,0.15,44.74,10.44
49.43,7.89,1,11.91,2,0.2,222.06,0.32
77.21,31.87,1,15.18,3,0.14,54.41,10.01
54.69,12.83,1,18.91,0,0.14,648.56,2.73
24.1,0.66,2,13.06,1,0.23,244.83,6.06
122.66,34.82,1,11.54,1,0.32,773.41,3.94
44.39,4.98,1,14.11,2,0.12,64.03,96.11
48.99,5.68,1,11.24,1,0.32,1240.74,2.77
24.83,0.62,1,13.48,3,0.22,106.13,1.25
35.86,0.3,1,12.99,0,0.12,370.27,4.62
25.75,4.26,2,15.38,0,0.11,1036.18,3.6
43.92,0.24,2,10.49,0,0.07,113.83,2.14
180.51,5.8,1,10.84,3,0.14,3650.0,0.89
17.87,13.07,1,14.76,1,0.1,212.24,1.77
14.91,19.1,2,15.08,1,0.26,36.78,8.1
150.72,2.12,1,9.71,2,0.39,1104.29,15.75
42.74,4.81,1,17.04,3,0.28,480.52,2.03
30.27,439.78,1,15.75,1,0.11,3421.82,3.27
109.07,325.82,3,12.66,1,0.26,91.35,1.18
31.75,8.31,1,14.19,4,0.12,438.57,7.88
196.67,0.33,3,10.06,1,0.09,899.78,0.75
83.14,22.79,1,15.41,0,0.09,785.91,1.86
34.68,6.89,1,12.31,1,0.39,669.6,10.05
252.14,3.88,2,13.29,1,0.13,484.3,3.77
31.75,21.58,1,13.78,3,0.16,1800.05,0.86
87.23,12.24,1,16.42,2,0.12,148.59,0.68
62.58,4.49,1,14.93,2,0.43,696.03,2.97
132.73,32.77,1,13.28,1,0.09,849.68,6.94
161.28,26.28,1,12.82,2,0.59,2160.69,9.19
51.21,31.77,2,14.45,2,0.19,331.93,9.68
28.42,15.97,2,13.83,1,0.14,319.9,13.45
70.6,24.28,3,13.52,2,0.15,1660.09,1.27
30.08,24.94,2,14.01,0,0.01,324.16,0.88
226.35,3.02,2,13.46,1,0.19,55.39,3.48
55.39,466.91,2,10.87,0,0.17,738.82,0.72
38.02,12.91,2,13.88,0,0.1,1423.12,0.25
57.43,12.44,1,13.96,1,0.63,166.62,14.44
18.2,3.45,1,14.27,2,0.33,1435.6,2.5
24.13,6.32,2,11.99,2,0.09,437.76,2.9
123.02,11.19,1,12.4,1,0.11,2966.2,6.91
30.55,33.79,3,17.28,2,0.32,91.04,1.36
22.8,2.89,1,12.52,2,0.29,378.77,14.81
74.78,12.54,1,15.02,1,0.1,235.9,18.21
121.67,398.9,2,12.41,1,0.13,2271.92,1.62
85.73,154.02,1,10.22,0,0.14,327.44,0.07
105.54,3.1,3,13.79,2,0.27,308.75,11.08
28.34,1.15,3,15.23,1,0.07,1219.74,28.15
17.21,27.35,2,13.33,1,0.2,2977.73,75.7
154.16,2.38,1,10.01,3,0.37,892.16,3.56
39.25,14.37,1,9.53,1,0.13,2845.77,1.13
41.43,6.82,1,16.31,1,0.16,1073.03,1.21
135.39,10.25,2,13.97,0,0.28,219.57,0.38
75.88,3.51,1,15.21,1,0.21,1364.74,2.55
70.38,23.32,1,14.46,1,0.28,351.61,0.54
253.6,1.32,1,11.7,4,0.04,369.34,1.15
30.86,22.81,1,13.49,3,0.28,1654.45,0.98
100.27,22.51,2,10.61,1,0.23,299.44,10.53
52.18,16.63,1,15.89,3,0.1,405.35,14.63
61.16,194.78,1,14.64,0,0.03,3650.0,10.21
157.33,20.51,2,15.48,4,0.28,186.38,16.72
73.18,33.94,2,16.58,3,0.29,1000.0,5.62
74.87,16.14,2,13.29,3,0.26,501.88,22.52
111.77,23.15,2,12.52,3,0.09,385.26,0.35
38.03,12.01,1,13.79,1,0.24,142.74,6.44
26.65,0.52,1,16.54,1,0.23,760.42,3.23
22.84,3.44,3,10.87,2,0.11,843.74,8.35
11.44,5.59,3,14.04,0,0.27,1164.49,1.21
233.73,4.43,2,15.61,0,0.11,1551.1,0.18
21.86,11.8,2,14.62,1,0.15,532.24,4.79
42.35,2.09,3,16.15,5,0.05,773.51,1.9
40.63,0.75,1,10.93,1,0.41,67.41,9.03
62.96,3.26,1,16.17,2,0.38,539.94,10.2
92.19,0.04,2,12.75,1,0.16,141.5,1.11
95.33,308.0,3,9.81,2,0.27,10.0,3.62
32.29,2.12,2,13.35,0,0.11,61.61,9.97
44.11,1.79,2,12.32,2,0.2,25.02,1.01
61.8,8.25,1,13.67,2,0.46,498.04,5.1
41.49,365.93,1,10.96,2,0.34,485.06,0.0
166.92,9.27,1,13.75,1,0.16,221.88,6.13
72.26,7.89,3,12.85,1,0.09,625.85,0.87
86.76,9.82,1,17.98,1,0.17,82.86,3.66
82.2,51.45,1,14.35,1,0.04,345.09,6.36
120.56,0.12,3,14.46,0,0.12,46.51,7.54
57.27,405.05,1,13.54,4,0.3,10.0,6.44
18.9,9.5,2,16.5,1,0.37,884.39,3.15
67.48,0.77,1,14.97,1,0.08,1263.31,8.1
30.68,30.13,1,17.03,4,0.18,299.21,7.16
33.63,2.26,2,16.11,1,0.15,1180.07,1.98
77.62,6.26,3,13.23,1,0.25,988.48,0.96
126.56,4.66,1,15.46,1,0.17,1493.91,5.91
50.8,3.3,2,15.63,1,0.47,229.95,0.69
63.03,20.25,1,15.89,1,0.04,655.49,21.66
179.23,1.22,1,14.8,2,0.43,236.85,0.29
59.89,23.23,1,11.31,3,0.16,2045.31,72.12
351.88,0.28,2,13.94,0,0.04,1036.92,4.64
76.41,3.11,1,14.22,1,0.14,89.12,2.07
13.35,8.03,1,14.14,0,0.03,455.48,5.57
87.97,303.0,2,16.29,1,0.07,39.11,9.37
66.55,0.48,1,12.71,1,0.24,3650.0,2.4
131.54,1.76,1,14.27,1,0.3,1733.39,1.5
82.84,2.19,1,13.86,0,0.04,435.32,3.92
45.07,62.88,2,15.37,2,0.36,485.03,2.58
19.96,345.28,1,17.62,1,0.24,461.18,5.97
42.75,20.01,2,15.25,3,0.38,1071.59,12.56
26.42,4.16,1,15.11,1,0.04,427.95,19.24
32.35,0.59,1,11.96,2,0.02,238.76,1.28
77.75,457.07,2,10.91,3,0.14,312.0,8.35
174.94,1.11,1,14.51,1,0.17,1587.67,0.98
67.22,5.05,3,13.63,2,0.39,108.6,0.42
20.39,6.31,1,14.92,5,0.12,562.28,15.49
69.79,0.89,1,12.77,2,0.26,503.82,3.98
122.67,5.18,1,16.81,0,0.29,814.07,3.87
31.65,25.5,1,11.61,0,0.07,62.6,0.45
45.22,23.64,1,13.61,2,0.29,34.13,3.58
50.55,10.56,1,13.22,3,0.17,1186.23,5.51
27.75,2.05,1,16.2,2,0.15,740.51,5.08
81.31,11.3,1,13.54,0,0.15,129.26,34.22
45.66,1.84,1,12.84,5,0.12,486.32,4.01
68.49,13.74,1,14.16,1,0.22,742.25,5.26
25.7,6.09,1,12.42,1,0.51,435.76,23.12
36.01,21.45,1,13.96,2,0.1,120.99,18.36
85.95,0.6,1,13.74,3,0.34,163.1,3.54
37.8,29.79,2,19.78,2,0.2,281.49,5.53
182.59,16.91,2,13.08,2,0.24,10.0,1.08
37.05,9.92,1,13.82,3,0.33,1304.59,2.11
59.18,0.16,1,14.44,1,0.2,1160.21,6.52
100.63,4.64,1,14.55,3,0.05,2130.37,18.24
17.26,1.89,2,16.09,0,0.03,121.54,1.38
13.35,22.98,1,17.84,2,0.16,956.24,3.36
15.92,22.5,1,12.4,0,0.12,1280.07,62.26
128.89,21.53,1,14.88,3,0.14,934.34,8.08
33.05,4.91,3,13.67,3,0.12,439.68,23.04
340.59,1.92,2,14.66,1,0.05,394.66,9.74
32.75,20.75,1,16.22,3,0.1,148.91,3.85
57.42,0.09,1,17.26,3,0.12,3555.03,2.2
158.95,7.99,2,15.75,3,0.26,117.65,3.85
225.11,2.28,1,14.63,1,0.11,1147.14,10.45
234.66,3.67,1,16.05,2,0.21,2166.55,0.61
123.75,1.82,2,12.32,1,0.16,2304.24,6.44
107.78,2.65,1,12.55,2,0.37,2581.9,37.05
77.98,2.0,1,14.34,1,0.3,1078.23,1.43
89.64,30.96,1,16.33,2,0.12,139.8,1.97
33.07,2.24,3,13.41,4,0.16,733.91,0.14
27.07,8.87,1,13.62,2,0.03,576.91,1.23
49.87,23.63,2,10.04,3,0.31,1113.85,6.75
44.01,41.25,1,18.78,1,0.32,613.48,6.39
35.59,10.94,3,13.54,4,0.18,1726.96,1.78
84.29,5.74,3,8.52,2,0.27,531.07,89.48
102.36,8.01,1,14.33,1,0.23,1401.47,20.04
53.43,10.46,1,14.95,3,0.03,3025.97,7.94
151.44,11.87,2,13.54,0,0.23,1297.89,14.59
21.24,10.75,2,12.18,2,0.06,1439.05,8.84
43.24,8.16,1,15.8,2,0.15,1240.99,2.08
29.21,8.52,2,15.57,1,0.21,1835.72,2.61
12.33,1.94,1,15.05,2,0.49,344.91,0.63
46.99,1.1,1,12.47,3,0.15,3650.0,0.3
45.64,7.18,2,12.78,3,0.1,1588.8,0.81
155.57,2.5,1,13.3,1,0.14,1418.44,12.48
80.25,2.73,1,13.17,1,0.16,93.78,9.92
23.19,3.53,3,15.25,1,0.01,405.14,6.32
200.86,19.35,2,13.21,0,0.3,292.25,2.41
124.94,0.14,3,12.1,0,0.26,118.71,76.67
77.37,19.07,2,14.85,4,0.03,2453.28,5.96
42.19,246.9,2,18.75,1,0.26,941.83,0.5
24.35,6.99,1,12.43,1,0.13,2272.48,7.49
37.82,31.1,1,12.58,3,0.37,760.09,3.13
113.14,2.96,1,13.76,2,0.43,2416.28,0.71
205.5,11.99,1,15.51,3,0.31,2605.19,1.83
159.09,36.22,3,15.13,3,0.3,1056.79,17.92
34.65,9.94,1,13.76,1,0.16,695.12,5.64
21.59,1.87,1,13.13,2,0.18,250.56,9.17
55.57,3.93,2,18.2,0,0.21,2454.49,0.31
13.27,0.27,1,16.29,1,0.06,1512.67,4.18
63.71,7.14,1,17.47,1,0.07,408.73,73.39
44.76,16.2,1,15.41,3,0.22,1100.63,15.4
35.25,0.1,2,13.81,3,0.12,944.44,1.46
15.12,8.89,1,14.8,1,0.07,113.82,15.06
73.5,5.84,1,17.61,0,0.16,2675.43,2.55
33.53,4.06,1,15.03,0,0.31,10.0,6.79
20.79,6.84,1,10.56,1,0.24,1761.03,6.15
5.8,1.03,1,16.8,2,0.1,716.27,8.22
48.98,1.02,3,16.99,1,0.12,1747.19,4.45
188.9,277.26,1,16.47,0,0.27,811.21,1.34
173.81,9.9,1,11.31,3,0.19,166.35,2.13
35.49,5.23,3,14.77,4,0.16,641.87,2.61
31.83,32.96,2,16.05,2,0.36,2110.51,0.86
71.07,31.89,1,14.03,1,0.29,260.81,6.77
23.65,1.31,1,14.76,0,0.12,127.56,0.15
62.7,9.84,2,15.12,0,0.34,535.26,1.0
88.82,9.14,1,12.35,1,0.33,1666.01,0.99
125.49,432.46,1,14.94,0,0.42,1222.6,1.41
46.38,3.85,1,12.03,3,0.19,3650.0,9.59
42.92,6.57,1,13.79,1,0.34,2122.67,4.46
25.88,7.71,2,12.85,1,0.2,187.99,2.1
26.89,15.56,1,15.75,2,0.15,1550.9,2.83
42.19,5.08,1,15.34,1,0.42,1266.3,6.31
65.86,5.53,2,15.13,1,0.1,217.48,2.35
99.21,0.9,1,14.56,5,0.19,1515.64,3.85
27.38,19.57,1,14.87,1,0.08,277.87,32.9
153.17,4.16,1,18.02,1,0.3,607.9,3.9
40.8,6.31,2,16.65,2,0.24,324.89,3.31
49.21,281.58,1,12.08,5,0.35,600.1,0.91
28.55,1.99,2,12.93,0,0.47,359.48,9.25
8.12,11.66,1,13.58,1,0.08,1076.27,4.95
97.03,11.4,2,13.52,1,0.21,1620.05,1.61
86.89,10.29,2,12.35,0,0.2,18.79,0.73
40.49,0.14,2,15.17,0,0.06,515.13,4.37
52.58,21.45,1,13.88,1,0.13,157.18,9.33
73.62,0.36,1,14.44,0,0.1,19.56,10.0
15.49,22.85,1,10.58,1,0.39,3650.0,2.59
33.62,5.28,1,10.85,3,0.3,1120.06,4.27
90.71,3.79,1,12.92,3,0.13,602.03,2.02
19.52,6.45,1,15.22,1,0.16,563.88,6.26
62.31,7.88,3,14.96,1,0.09,1838.08,0.89
18.08,206.11,2,16.02,0,0.38,845.7,0.52
70.94,11.11,1,12.6,1,0.16,1382.35,1.67
48.68,13.98,1,15.37,3,0.25,2531.01,9.21
14.89,0.25,2,17.06,0,0.32,2150.43,3.3
119.77,3.54,1,15.85,1,0.33,99.8,1.94
28.82,12.23,1,11.42,2,0.14,665.49,5.27
27.23,2.93,1,16.22,0,0.17,1003.73,3.43
58.12,9.74,1,14.65,2,0.11,622.18,1.94
118.33,16.63,2,14.91,3,0.21,342.75,3.36
23.34,18.98,3,18.99,2,0.25,2482.25,4.9
52.37,1.07,1,14.49,4,0.19,2288.96,19.26
68.97,12.47,1,15.26,0,0.16,1844.22,67.62
84.09,20.97,1,14.19,1,0.09,2708.79,10.22
57.07,7.75,2,13.51,1,0.17,1358.8,0.95
37.97,0.54,2,14.73,2,0.17,493.98,16.56
26.88,127.14,1,13.13,1,0.01,688.53,3.02
53.34,3.09,2,14.29,3,0.3,1737.33,97.51
22.37,30.64,1,13.4,1,0.04,2414.28,6.18
5.59,1.62,1,9.84,2,0.37,1110.05,5.12
69.37,5.68,2,13.02,2,0.25,870.23,3.33
98.49,0.86,1,15.91,4,0.36,2232.82,0.4
8.5,2.16,1,15.04,1,0.33,1386.35,15.77
23.45,11.0,2,13.53,1,0.12,2444.53,4.92
79.55,220.5,1,14.2,5,0.05,2145.42,4.41
233.96,231.02,1,12.39,1,0.27,398.69,2.51
50.79,3.3,1,12.6,1,0.34,140.35,5.66
28.96,21.56,1,14.01,2,0.15,1211.2,0.81
43.59,1.71,1,13.57,3,0.16,2714.68,7.48
140.22,21.31,1,12.49,0,0.18,2402.25,9.28
30.8,25.88,2,13.87,0,0.1,2525.62,7.32
27.46,12.42,3,11.77,2,0.04,2048.56,2.25
34.81,6.51,1,17.15,1,0.3,576.86,0.53
24.46,7.43,1,15.79,4,0.16,2757.61,5.17
54.82,0.71,2,9.66,1,0.17,1013.69,0.77
169.11,7.52,3,15.68,4,0.25,1773.86,3.95
63.71,7.79,1,13.25,2,0.17,355.39,4.07
41.38,6.78,2,12.91,0,0.01,693.18,9.07
40.17,0.47,1,15.51,0,0.35,124.97,2.7
15.48,3.29,3,13.71,1,0.07,167.46,1.99
96.97,17.35,1,13.23,3,0.6,1646.35,17.74
47.16,5.66,3,11.34,2,0.42,2881.21,7.31
43.67,2.34,1,15.83,3,0.13,750.07,3.9
548.32,6.5,3,16.07,1,0.14,665.13,3.78
62.56,16.85,1,14.32,2,0.14,2850.76,1.18
28.45,3.14,1,11.67,1,0.09,1779.11,17.09
36.32,13.61,2,14.61,3,0.19,201.74,4.85
118.32,27.75,2,15.28,1,0.11,42.74,3.52
54.43,1.36,2,13.95,3,0.26,2999.65,1.95
17.0,1.45,1,15.76,1,0.03,777.31,1.23
99.63,7.24,2,14.34,0,0.18,1039.53,14.56
30.29,7.82,3,14.61,1,0.03,756.94,10.93
203.77,227.54,1,16.96,0,0.28,1341.8,0.07
112.4,483.19,1,13.02,0,0.28,2278.33,1.91
35.75,12.45,2,10.86,1,0.14,3650.0,3.0
130.68,0.66,2,13.66,0,0.46,451.99,5.11
52.61,42.35,2,12.87,1,0.12,732.91,2.74
94.78,31.49,2,11.16,2,0.24,2149.94,7.76
71.92,59.87,2,15.24,1,0.09,572.12,7.63
26.5,10.18,2,14.0,0,0.36,444.71,1.72
30.86,2.35,3,10.36,3,0.14,3471.89,3.94
108.26,26.87,2,17.09,8,0.17,1316.47,1.95
38.9,9.61,2,12.54,2,0.21,707.24,6.43
36.94,4.16,1,12.77,2,0.18,1589.22,3.66
24.43,3.83,1,15.88,3,0.23,384.19,0.29
68.7,33.93,1,14.86,0,0.19,889.69,4.27
234.84,436.0,2,16.18,2,0.32,1240.41,7.24
22.45,4.31,1,9.64,4,0.08,1258.62,10.07
50.92,0.97,1,13.43,3,0.08,217.9,3.67
144.2,2.82,1,14.27,4,0.22,3650.0,1.29
47.1,10.46,2,16.6,1,0.18,1402.27,0.41
70.2,1.32,2,12.31,2,0.25,1358.73,7.23
22.54,37.47,3,13.32,4,0.05,881.62,2.06
68.94,3.34,1,14.28,1,0.16,419.79,8.59
43.45,0.5,1,15.52,0,0.31,670.69,2.85
104.72,10.78,1,11.78,2,0.13,554.86,6.1
121.82,8.48,1,15.62,0,0.16,121.66,1.08
348.69,1.97,2,12.82,1,0.15,2587.13,7.07
77.23,5.86,1,14.75,2,0.28,708.56,10.73
63.84,14.38,1,13.61,0,0.2,44.07,2.45
57.85,36.1,1,14.55,1,0.05,543.82,8.09
38.37,0.58,1,14.42,2,0.16,545.73,11.62
64.45,403.21,1,16.55,1,0.15,90.61,8.5
40.06,9.62,1,13.53,0,0.24,217.95,7.07
56.73,229.67,1,13.4,5,0.16,80.96,0.45
134.32,1.11,1,16.14,1,0.12,174.72,0.99
23.5,7.26,1,16.8,0,0.3,121.58,12.53
117.56,492.77,2,13.21,1,0.13,2326.42,25.69
134.27,2.33,3,15.38,0,0.06,1496.06,1.32
45.76,11.9,1,12.29,1,0.32,2062.51,2.53
10.18,433.56,2,15.4,0,0.14,149.14,14.8
31.69,11.65,3,15.84,0,0.08,1106.52,3.26
132.26,17.26,1,13.45,5,0.09,2319.94,8.35
49.15,6.53,1,16.22,2,0.07,3064.51,2.55
23.63,30.93,1,13.47,1,0.15,60.1,8.98
34.24,14.75,1,14.05,0,0.04,476.59,3.18
93.92,0.08,2,14.78,0,0.03,451.7,8.97
75.34,0.98,1,12.08,2,0.39,207.13,5.08
41.8,3.19,2,11.28,1,0.13,167.66,19.91
37.97,2.06,1,14.56,1,0.16,463.62,1.73
37.27,3.95,3,12.52,4,0.37,1244.12,8.34
25.03,0.8,3,11.56,0,0.06,1311.74,0.3
167.93,12.82,3,15.54,2,0.21,860.96,1.64
39.26,0.56,2,17.03,2,0.26,1541.38,10.11
124.57,11.82,1,15.71,0,0.26,1216.77,0.99
156.49,2.67,2,11.63,4,0.21,1587.4,0.44
105.72,4.18,1,14.36,0,0.18,3650.0,7.26
36.17,4.86,2,13.38,3,0.02,866.29,2.12
67.68,2.07,1,12.29,0,0.32,1454.41,4.92
49.1,2.78,1,14.17,0,0.17,1791.7,6.84
25.39,10.99,3,13.86,4,0.22,2441.02,0.05
63.77,0.83,1,13.53,0,0.07,787.97,34.15
20.65,259.25,1,15.98,0,0.15,2512.11,3.89
121.85,15.73,1,16.6,3,0.16,774.32,0.93
35.29,3.25,2,13.35,3,0.14,1181.11,0.54
58.14,6.57,2,13.64,3,0.06,427.9,0.09
61.84,0.95,2,13.5,1,0.14,3650.0,1.06
41.18,30.7,2,15.03,0,0.13,245.12,2.19
77.64,0.04,1,14.66,1,0.08,298.43,14.24
35.02,71.37,1,12.58,1,0.14,289.96,3.11
96.11,7.9,2,13.74,2,0.13,546.45,1.8
18.22,7.72,2,11.01,0,0.43,1461.2,88.14
54.97,19.85,1,10.86,0,0.27,3650.0,0.22
